brnpdb_id,name,micro_community,micro_size,micro_hiv_rate,micro_n_active,macro_community,macro_family
41205,"1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7",36242,33,0.0909,3,4,Flavonois poliglicosilados + glicosideo fenilpropa
41160,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-",21499,11,0.0909,1,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41201,"5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methy",507,35,0.0857,3,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41156,"Card-20(22)-enolide, 3-[(2,6-dideoxy-4-O-β-D-glucopyranosyl-",507,35,0.0857,3,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41158,capric acid,33891,12,0.0833,1,16,Acido cafeoico (hidroxicinamato catecol)
41209,Stigmast-5-en-3-ol,28309,12,0.0833,1,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41137,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (",38755,12,0.0833,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41144,caffeic acid,18142,13,0.0769,1,1,"Monoterpenos monocíclicos e oxidados (mentano, cin"
41222,"2(3H)-Furanone, dihydro-5-(8-hydroxy-2,4,6-octatriyn-1-yl)-,",18203,40,0.075,3,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41212,Myrcene,18203,40,0.075,3,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
41132,(E)-3-(4-Hydroxyphenyl)acrylic acid,7170,28,0.0714,2,1,"Monoterpenos monocíclicos e oxidados (mentano, cin"
41255,D-Arabinose,34636,14,0.0714,1,6,Sesquiterpenos ciclopropazulenoides (cedrano/gorgo
41139,"L-Galactose, 6-deoxy-",32939,29,0.069,2,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41194,Kaempferide,32939,29,0.069,2,3,Flavonas arabinosiladas + catecois sesquiterpenoid
41157,hexadecanoic acid,7372,15,0.0667,1,22,Acido ferulico + flavona O-metilada (hispidulina)
41155,"1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl",28297,15,0.0667,1,25,Sesquiterpenos macrociclicos (cariofilano/humulano
41154,Octadecanal,38506,15,0.0667,1,1,"Monoterpenos monocíclicos e oxidados (mentano, cin"
41260,L-Lyxose,6356,15,0.0667,1,8,Acido graxo omega-aromatico
41223,"4H-1-Benzopyran-4-one, 2,3-dihydro-3,5,7-trihydroxy-2-(4-met",17680,15,0.0667,1,2,Acidos graxos C10-C18 + triterpenos pentaciclicos 
