community,brnpdb_id,common_name
24793,"[tensor(10017), tensor(5308), tensor(5456), tensor(5696), tensor(8658), tensor(9283), tensor(9647)]","['Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-', 'Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1S,4E,9R)-', '5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1S,4R,6R,10R)-', '5-Oxatricyclo[8.2.0.04,6]dodecane, 4,12,12-trimethyl-9-methylene-, (1R,4R,6R,10S)-']"
26373,[tensor(1828)],['Benzyl benzoate']
26612,[tensor(1914)],['limonene']
27879,"[tensor(10052), tensor(6662)]","['2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-', '2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-']"
28297,[tensor(3151)],['farnesol']
28309,[tensor(7267)],"['β-D-Glucopyranoside, 2-(3,4-dihydroxyphenyl)ethyl 3-O-(6-deoxy-α-L-mannopyranosyl)-, 4-[(2E)-3-(3,4-dihydroxyphenyl)-2-propenoate]']"
29867,"[tensor(1380), tensor(1755)]","['Linalool', 'α-Pinene']"
31128,"[tensor(6859), tensor(9610)]","['Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1R,2R,4S)-rel-', 'Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, (1S,2S,4R)-']"
31868,"[tensor(6397), tensor(7030), tensor(9218)]","['1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, octahydro-7-methyl-3-methylene-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-', '1H-Cycloprop[e]azulene, decahydro-1,1,4-trimethyl-7-methylene-, (1aR,4R,4aR,7aR,7bR)-', 'Cyclobuta[1,2:3,4]dicyclopentene, decahydro-3a-methyl-6-methylene-1-(1-methylethyl)-, (1S,3aS,3bR,6aS,6bR)-']"
32685,[tensor(1902)],['a-terpinene']
32939,"[tensor(1741), tensor(6636)]","['Terpinen-4-ol', '4H-Benzo[de][1,6]naphthyridine, 8,9-dimethoxy-4-methyl-']"
33028,"[tensor(5783), tensor(7805), tensor(9377)]","['1H-Cyclopenta[1,3]cyclopropa[1,2]benzene, 3a,3b,4,5,6,7-hexahydro-3,7-dimethyl-4-(1-methylethyl)-, (3aS,3bR,4S,7R,7aR)-', 'Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1R,2S,6S,7S,8S)-', 'Tricyclo[4.4.0.02,7]dec-3-ene, 1,3-dimethyl-8-(1-methylethyl)-, (1S,2R,6R,7R,8S)-']"
33410,"[tensor(7314), tensor(8640)]","['1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7S,7aR,7bR)-', '1H-Cycloprop[e]azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aS,4aS,7R,7aS,7bS)-']"
33891,[tensor(3471)],['caffeic acid']
34166,[tensor(5244)],"['1H-Cycloprop[e]azulen-7-ol, 1a,2,3,5,6,7,7a,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,7S,7aS,7bR)-']"
34636,[tensor(9290)],"['Card-20(22)-enolide, 3-[(2,6-dideoxy-4-O-β-D-glucopyranosyl-β-D-ribo-hexopyranosyl)oxy]-14-hydroxy-, (3β,5β)-']"
35267,"[tensor(7099), tensor(8558)]","['Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aS)-', 'Naphthalene, 1,2,3,5,6,8a-hexahydro-4,7-dimethyl-1-(1-methylethyl)-, (1S,8aR)-']"
36242,"[tensor(6560), tensor(7187), tensor(8883)]","['4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 3-[(6-deoxy-β-D-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-6-β-D-glucopyranosyl-5,7-dihydroxy-']"
36316,[tensor(9519)],"['9H-Xanthen-9-one, 2-β-D-glucopyranosyl-1,3,6,7-tetrahydroxy-']"
36713,"[tensor(5243), tensor(7515), tensor(8749), tensor(9216)]","['4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-galactopyranosyloxy)-5,7-dihydroxy-', 'L-Cysteine, L-tyrosylglycyl-L-leucyl-L-seryl-L-lysylglycyl-L-cysteinyl-L-phenylalanylglycyl-L-leucyl-L-lysyl-L-leucyl-L-α-aspartyl-L-arginyl-L-isoleucylglycyl-L-seryl-L-methionyl-L-serylglycyl-L-leucylglycyl-, cyclic (7→23)-disulfide', '4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-glucopyranosyloxy)-5,7-dihydroxy-']"
37974,[tensor(6361)],"['1H-Naphtho[2,1-a]xanthene-2,10-diol, 2,3,4,4a,4b,5,6,6a,12,12a,12b,13,14,14a-tetradecahydro-1,1,4a,6a,8,12b-hexamethyl-, (2S,4aR,4bS,6aS,12aS,12bS,14aR)-']"
38009,[tensor(7698)],"['1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-, (1E,6E,8S)-']"
38506,[tensor(3046)],['Malic acid']
38755,[tensor(1497)],['hexadecanoic acid']
38940,"[tensor(7287), tensor(7374)]","['L-Galactose, 6-deoxy-', 'L-Mannose, 6-deoxy-']"
39001,[tensor(6604)],"['Bicyclo[3.3.1]non-2-ene-1,2-dicarboxaldehyde, 9-(acetyloxy)-8-[(1R)-1,5-dimethyl-4-hexen-1-yl]-5-methyl-, (1R,5R,8S,9R)-']"
39548,[tensor(9109)],"['β-D-Glucopyranoside, 4-[[[(2E)-3-(3,4-dihydroxyphenyl)-1-oxo-2-propen-1-yl]oxy]methyl]-2-hydroxyphenyl']"
41023,[tensor(7807)],['Amphotericin B']
41129,"[tensor(10068), tensor(8606)]","['α-L-Mannopyranose, 6-deoxy-', 'α-D-Galactopyranose, 6-deoxy-']"
41134,"[tensor(122), tensor(1223)]","['Quercetin', '3-O-methylquercetin']"
41149,"[tensor(1915), tensor(6585), tensor(9596)]","['tricyclene', '1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-', '1H-Cycloprop[e]azulene, 1a,2,3,4,4a,5,6,7b-octahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7bS)-rel-']"
41171,"[tensor(5488), tensor(6310), tensor(6621)]","['Urs-12-en-28-oic acid, 3-hydroxy-, (3β,19α,20β)-', 'Urs-12-en-28-oic acid, 3-hydroxy-, (3β)-', 'Urs-12-en-28-oic acid, 3-hydroxy-, (3α)-']"
41207,"[tensor(7233), tensor(7333), tensor(7884), tensor(8651)]","['Stigmast-5-en-3-ol', 'Stigmast-5-en-3-ol, (3β)-', 'Stigmast-5-en-3-ol, (3β,24ξ)-', 'Stigmast-5-en-3-ol, (3β,24S)-']"
41217,"[tensor(5327), tensor(5437), tensor(5806), tensor(7198), tensor(7431), tensor(7602), tensor(7858), tensor(8699)]","['1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-', '1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-', '1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4R,4aR,7R,7aS,7bS)-', '1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aR,7R,7aS,7bS)-', '1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aS,7R,7aR,7bS)-', '1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aS,7bS)-rel-', '1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aR,4S,4aS,7R,7aS,7bS)-', '1H-Cycloprop[e]azulen-4-ol, decahydro-1,1,4,7-tetramethyl-, (1aS,4S,4aR,7S,7aR,7bR)-']"
41230,"[tensor(5353), tensor(5412), tensor(8078), tensor(9546), tensor(9756), tensor(9918)]","['4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 3-(β-D-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(β-D-xylopyranosyloxy)-', '4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 3-(arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-', '4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(D-xylopyranosyloxy)-']"
41231,"[tensor(6593), tensor(6715), tensor(8123), tensor(8971), tensor(9018)]","['D-Glucuronic acid', 'D-Galacturonic acid', 'D-Mannose', 'D-Glucose', 'D-Galactose']"
41249,"[tensor(7246), tensor(9023)]","['2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2Z)-', '2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2E)-']"
41263,"[tensor(6597), tensor(6760), tensor(8833), tensor(9574)]","['Bicyclo[3.1.0]hexan-3-ol, 4-methylene-1-(1-methylethyl)-, 3-acetate, (1S,3S,5S)-', 'Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate', 'Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2R,4R)-rel-', 'Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, 2-acetate, (1R,2S,4R)-rel-']"
41271,"[tensor(7404), tensor(9811)]","['12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-, (1R,3E,7E,11R)-', '12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-']"
41273,"[tensor(6231), tensor(7881), tensor(8304), tensor(8910), tensor(9464), tensor(9971)]","['Arabinose', 'L-Lyxose', 'D-Arabinose', 'L-Arabinose', 'D-Ribose', 'D-Xylose']"
