node_id,community,is_brnpdb,is_active
347,24,False,False
348,20,False,False
349,24,False,False
350,0,False,False
351,0,False,False
352,5,False,False
353,5,False,False
354,14,False,False
355,14,False,False
356,23,False,False
357,4,False,False
358,14,False,False
359,17,False,False
360,10,False,False
361,9,False,False
362,8,False,False
363,9,False,False
364,13,False,False
365,11,False,False
366,21,False,False
367,14,False,False
368,18,False,False
369,24,False,False
370,14,False,False
371,12,False,False
372,26,False,False
373,26,False,False
374,12,False,False
375,4,False,False
376,0,False,False
377,19,False,False
378,7,False,False
379,25,False,False
380,14,False,False
381,25,False,False
382,14,False,False
383,15,False,False
384,10,False,False
385,3,False,False
386,17,False,False
387,25,False,False
388,5,False,False
389,23,False,False
390,2,False,False
391,14,False,False
392,17,False,False
393,10,False,False
394,16,False,False
395,25,False,False
396,13,False,False
397,13,False,False
398,5,False,False
399,17,False,False
400,5,False,False
401,10,False,False
402,15,False,False
403,7,False,False
404,10,False,False
405,10,False,False
406,18,False,False
407,20,False,False
408,20,False,False
409,25,False,False
410,2,False,False
411,20,False,False
412,6,False,False
413,18,False,False
414,6,False,False
415,3,False,False
416,15,False,False
417,22,False,False
418,21,False,False
419,22,False,False
420,22,False,False
421,7,False,False
422,7,False,False
423,7,False,False
424,7,False,False
425,22,False,False
426,4,False,False
427,16,False,False
428,16,False,False
429,3,False,False
430,26,False,False
431,24,False,False
432,24,False,False
433,7,False,False
434,26,False,False
435,2,False,False
436,4,False,False
437,3,False,True
438,3,False,False
439,14,False,False
440,15,False,False
441,8,False,True
442,16,False,False
443,11,False,True
444,11,False,False
445,11,False,False
446,11,False,False
447,15,False,False
448,3,False,False
449,2,False,False
450,6,False,False
451,6,False,False
452,24,False,False
453,20,False,False
454,20,False,False
455,11,False,True
456,6,False,False
457,11,False,False
458,1,False,False
459,25,False,False
460,13,False,False
461,8,False,False
462,22,False,False
463,22,False,False
464,8,False,False
465,21,False,False
466,21,False,False
467,25,False,False
468,9,False,False
469,0,False,False
470,6,False,False
471,6,False,False
472,13,False,False
473,13,False,False
474,13,False,False
475,14,False,False
476,22,False,False
477,13,False,False
478,3,False,False
479,4,False,False
480,5,False,False
481,2,False,False
482,5,False,False
483,25,False,False
484,26,False,False
485,25,False,False
486,25,False,False
487,3,False,False
488,4,False,False
489,13,False,False
490,18,False,False
491,10,False,False
492,3,False,False
493,14,False,False
494,22,False,False
495,4,False,False
496,7,False,False
497,11,False,False
498,24,False,False
499,24,False,True
500,7,False,False
501,14,False,False
502,14,False,False
503,2,False,False
504,22,False,False
505,14,False,False
506,22,False,False
507,2,False,False
508,13,False,False
509,13,False,False
510,15,False,False
511,20,False,False
512,19,False,False
513,24,False,False
514,2,False,False
515,21,False,False
516,6,False,False
517,11,False,True
518,0,False,False
519,24,False,False
520,8,False,False
521,2,False,False
522,2,False,False
523,22,False,False
524,22,False,False
525,6,False,False
526,0,False,False
527,7,False,False
528,20,False,False
529,21,False,False
530,21,False,False
531,26,False,False
532,26,False,False
533,4,False,False
534,4,False,False
535,9,False,False
536,15,False,False
537,9,False,False
538,4,False,False
539,4,False,False
540,4,False,False
541,4,False,False
542,4,False,False
543,16,False,False
544,1,False,False
545,0,False,False
546,26,False,False
547,24,False,False
548,5,False,False
549,5,False,False
550,1,False,False
551,14,False,False
552,23,False,False
553,9,False,False
554,2,False,False
555,25,False,False
556,6,False,False
557,4,False,False
558,2,False,False
559,11,False,False
560,22,False,False
561,8,False,False
562,21,False,False
563,21,False,False
564,24,False,False
565,10,False,False
566,15,False,False
567,5,False,False
568,5,False,False
569,5,False,False
570,2,False,False
571,11,False,True
572,11,False,False
573,11,False,False
574,22,False,False
575,4,False,False
576,4,False,False
577,9,False,False
578,13,False,False
579,6,False,False
580,6,False,False
581,9,False,False
582,3,False,False
583,20,False,False
584,4,False,False
585,23,False,False
586,2,False,False
587,2,False,False
