index,brnpdb_id,common_name,smiles
35,7246,"2-Propenoic acid, 3-[2,2-dimethyl-8-(3-methyl-2-buten-1-yl)-2H-1-benzopyran-6-yl]-, (2Z)-",CC1(OC2=C(C=C1)C=C(C=C2CC=C(C)C)C=CC(=O)O)C
36,2143,lauric acid,CCCCCCCCCCCC(=O)O
37,7187,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-β-D-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@@H]1([C@@H](O)[C@@H](O)[C@H](O)[C@H](O1)C)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
38,6560,"4H-1-Benzopyran-4-one, 3-[(6-deoxy-α-L-mannopyranosyl)oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@@H]1([C@H](O)[C@H](O)[C@@H](O)[C@@H](O1)C)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
39,10052,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-",OC1=C(C=C(C=C1CC=C(C)C)C=CC(=O)O)CC=C(C)C
40,6662,"2-Propenoic acid, 3-[4-hydroxy-3,5-bis(3-methyl-2-buten-1-yl)phenyl]-, (2E)-",OC1=C(C=C(C=C1CC=C(C)C)C=CC(=O)O)CC=C(C)C
41,5456,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9S)-",C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
42,5308,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4Z,9S)-",C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
43,9546,"4H-1-Benzopyran-4-one, 3-(α-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@@H]1([C@H](O)[C@@H](O)[C@@H](O)CO1)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
44,9918,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(D-xylopyranosyloxy)-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1OC1[C@H](O)[C@@H](O)[C@H](O)CO1)=O)C(=CC(=C2)O)O
45,5353,"4H-1-Benzopyran-4-one, 3-(β-L-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@H]1([C@H](O)[C@@H](O)[C@@H](O)CO1)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
46,9756,"4H-1-Benzopyran-4-one, 3-(arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",C1([C@@H](O)[C@H](O)[C@H](O)CO1)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
47,5412,"4H-1-Benzopyran-4-one, 3-(β-D-arabinopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@@H]1([C@@H](O)[C@H](O)[C@H](O)CO1)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
48,8078,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(β-D-xylopyranosyloxy)-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)CO1)=O)C(=CC(=C2)O)O
49,10017,"Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-, (1R,4E,9R)-",C/C/1=C\CCC(=C)[C@@H]2CC([C@@H]2CC1)(C)C
50,9216,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-glucopyranosyloxy)-5,7-dihydroxy-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O1)CO)=O)C(=CC(=C2)O)O
51,7515,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-3-(β-D-galactopyranosyloxy)-5,7-dihydroxy-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1O[C@H]1[C@H](O)[C@@H](O)[C@@H](O)[C@H](O1)CO)=O)C(=CC(=C2)O)O
52,5243,"4H-1-Benzopyran-4-one, 3-(β-D-allopyranosyloxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-",[C@@H]1([C@H](O)[C@H](O)[C@H](O)[C@H](O1)CO)OC1=C(OC2=C(C1=O)C(=CC(=C2)O)O)C2=CC(=C(C=C2)O)O
53,5327,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aR,7R,7aR,7bS)-",C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C
54,3470,Ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O
55,7431,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-, (1aR,4aS,7R,7aR,7bS)-",C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C
56,5437,"1H-Cycloprop[e]azulene, decahydro-1,1,7-trimethyl-4-methylene-",C[C@@H]1CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C
57,8883,"4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-6-β-D-glucopyranosyl-5,7-dihydroxy-",OC=1C=C(C=CC1O)C=1OC2=C(C(C1)=O)C(=C(C(=C2)O)[C@H]2[C@H](O)[C@@H](O)[C@H](O)[C@H](O2)CO)O
