compound,name,smiles,mw,formula,volume,monomass,nrotb,tpsa,bioactivities,speciesName,stateName,cityName,iupac,inchi,inchikey,hba,hbd,logp,lipinski
http://nubbekg.aksw.org/data/compound/2978,Egonol,OCCCC1=CC(OC)=C(OC(C3=CC4=C(OCO4)C=C3)=C2)C2=C1,326.3432,C19H18O5,288.91,326.11542,5.0,61.07,Cytotoxic,Styrax camporum,SP,Mogi Guacu ,"3-[2-(2H-1,3-benzodioxol-5-yl)-7-methoxy-1-benzofuran-5-yl]propan-1-ol","1S/C19H18O5/c1-21-18-8-12(3-2-6-20)7-14-10-16(24-19(14)18)13-4-5-15-17(9-13)23-11-22-15/h4-5,7-10,20H,2-3,6,11H2,1H3
","VOLZBKQSLGCZGC-UHFFFAOYSA-N
",5.0,1.0,4.098,0.0
http://nubbekg.aksw.org/data/compound/2979,Homoegonol,OCCCC1=CC(OC)=C(OC(C3=CC(OC)=C(OC)C=C3)=C2)C2=C1,342.3857,C20H22O5,316.072,342.14673,7.0,61.07,Antibacterial | Antifungal | Cytotoxic,Styrax camporum | Styrax ferrugineus,SP,Mogi Guacu ,"3-[2-(3,4-dimethoxyphenyl)-7-methoxy-1-benzofuran-5-yl]propan-1-ol","1S/C20H22O5/c1-22-16-7-6-14(11-18(16)23-2)17-12-15-9-13(5-4-8-21)10-19(24-3)20(15)25-17/h6-7,9-12,21H,4-5,8H2,1-3H3
","PFOARMALXZGCHY-UHFFFAOYSA-N
",5.0,1.0,3.854,0.0
http://nubbekg.aksw.org/data/compound/2980,Syringaresinol,COC1=C(O)C(OC)=C[C@@]([C@H]2OCC3C2CO[C@@H]3[C@]4=CC(OC)=C(O)C(OC)=C4)=C1,418.437,C22H26O8,370.871,418.16278,6.0,95.86,Cytotoxic,Styrax camporum,SP,Mogi Guacu ,"4-[(1S,4S)-4-(4-hydroxy-3,5-dimethoxyphenyl)-hexahydrofuro[3,4-c]furan-1-yl]-2,6-dimethoxyphenol","1S/C22H26O8/c1-25-15-5-11(6-16(26-2)19(15)23)21-13-9-30-22(14(13)10-29-21)12-7-17(27-3)20(24)18(8-12)28-4/h5-8,13-14,21-24H,9-10H2,1-4H3/t13?,14?,21-,22-/m1/s1
","KOWMJRJXZMEZLD-HICDVDAHSA-N
",8.0,2.0,2.619,0.0
http://nubbekg.aksw.org/data/compound/2995,Phomopsilactone,OC1=C2C(C(C)C(OC2=O)=C)=C(C=O)C(O)=C1C,248.2314,C13H12O5,213.87,248.06847,1.0,83.832,Antifungal | Cytotoxic,Phomopsis cassiae,AM | SP,Maues  | Piracicaba ,"6,8-dihydroxy-4,7-dimethyl-3-methylidene-1-oxo-3,4-dihydro-1H-2-benzopyran-5-carbaldehyde","1/C13H12O5/c1-5-7(3)18-13(17)10-9(5)8(4-14)11(15)6(2)12(10)16/h4-5,15-16H,3H2,1-2H3
","MKXPEMIYFLKLRY-UHFFFAOYNA-N
",5.0,2.0,2.59,0.0
http://nubbekg.aksw.org/data/compound/2996,2-hydroxyphenylacetic acid,O=C(O)CC1=CC=CC=C1O,152.1473,C8H8O3,135.864,152.04735,2.0,57.527,Cytotoxic,Phomopsis cassiae,AM | SP,Maues  | Piracicaba ,2-(2-hydroxyphenyl)acetic acid,"1S/C8H8O3/c9-7-4-2-1-3-6(7)5-8(10)11/h1-4,9H,5H2,(H,10,11)
","CCVYRRGZDBSHFU-UHFFFAOYSA-N
",3.0,2.0,1.303,0.0
http://nubbekg.aksw.org/data/compound/3019,9-hydroxyeugenin,COC2=C(C)C(O)=C1C(C=C(CO)OC1=C2)=O,236.2207,C12H12O5,203.531,236.06847,2.0,79.901,Cytotoxic,Mycoleptodiscus indicus,,,5-hydroxy-2-(hydroxymethyl)-7-methoxy-6-methyl-4H-chromen-4-one,"1S/C12H12O5/c1-6-9(16-2)4-10-11(12(6)15)8(14)3-7(5-13)17-10/h3-4,13,15H,5H2,1-2H3
","XFEMHOWGRYGXDK-UHFFFAOYSA-N
",5.0,2.0,1.513,0.0
http://nubbekg.aksw.org/data/compound/3046,Trans-3'-methylsulphonylallyl trans-cinnamate,O=C(OC/C=C/S(C)(=O)=O)/C=C/C1=CC=CC=C1,266.313,C13H14O4S,231.64,266.06128,6.0,60.447,Cytotoxic,Cinnamomum australe,SP,Cunha ,(2E)-3-methanesulfonylprop-2-en-1-yl (2E)-3-phenylprop-2-enoate,"1S/C13H14O4S/c1-18(15,16)11-5-10-17-13(14)9-8-12-6-3-2-4-7-12/h2-9,11H,10H2,1H3/b9-8+,11-5+
","XKWYWPLJJOFUCZ-SXGHKVHISA-N
",4.0,0.0,2.104,0.0
http://nubbekg.aksw.org/data/compound/3069,Dimethyl terephthalate,O=C(C(OC)=O)C1=CC=C(C(C(OC)=O)=O)C=C1,250.2042,C12H10O6,211.069,250.04774,6.0,86.752,Cytotoxic,Phoma betae,SP,Ribeirao Preto ,methyl 2-[4-(2-methoxy-2-oxoacetyl)phenyl]-2-oxoacetate,"1S/C12H10O6/c1-17-11(15)9(13)7-3-5-8(6-4-7)10(14)12(16)18-2/h3-6H,1-2H3
","HKYZFMSRBGYWNJ-UHFFFAOYSA-N
",6.0,0.0,0.707,0.0
http://nubbekg.aksw.org/data/compound/3072,"(22E,24R)-ergosta-4,6,8(14),22-tetraen-3-one",O=C1CC[C@@](C(C=CC3=C([C@](CCC34)2C)CC[C@@H]2[C@@H](/C=C/[C@H](C)C(C)C)C)=C1)4C,392.6166,C28H40O,415.241,392.30792,4.0,17.071,Cytotoxic,Phoma betae,SP,Ribeirao Preto ,"(2R,14R,15R)-14-[(2R,3E,5R)-5,6-dimethylhept-3-en-2-yl]-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadeca-6,8,10-trien-5-one","1S/C28H40O/c1-18(2)19(3)7-8-20(4)24-11-12-25-23-10-9-21-17-22(29)13-15-27(21,5)26(23)14-16-28(24,25)6/h7-10,17-20,24,26H,11-16H2,1-6H3/b8-7+/t19-,20+,24+,26?,27-,28+/m0/s1
","OIMXTYUHMBQQJM-GDJCSSNXSA-N
",1.0,0.0,6.813,1.0
http://nubbekg.aksw.org/data/compound/3073,Austdiol,O=C2[C@](C)(O)[C@@H](O)C1=COC(C)=CC1=C2C=O,236.2207,C12H12O5,202.642,236.06847,1.0,87.738,Antileishmanial | Cytotoxic,Mycoleptodiscus indicus,,,"(7R,8S)-7,8-dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde","1S/C12H12O5/c1-6-3-7-8(4-13)10(14)12(2,16)11(15)9(7)5-17-6/h3-5,11,15-16H,1-2H3/t11-,12-/m0/s1
","QVMUHZHZYCDMAI-RYUDHWBXSA-N
",5.0,2.0,-0.722,0.0
