compound,name,smiles,mw,formula,volume,monomass,nrotb,tpsa,bioactivities,speciesName,stateName,cityName,iupac,inchi,inchikey,hba,hbd,logp,lipinski
http://nubbekg.aksw.org/data/compound/2916,Heveaflavone,OC1=C(C(C=C(C3=CC(C4=C(OC)C=C(O)C5=C4OC(C6=CC=C(OC)C=C6)=CC5=O)=C(O)C=C3)O2)=O)C2=CC(OC)=C1,580.5377,C33H24O10,488.046,580.13696,6.0,148.808,Antioxidant,Ouratea multiflora,SP,Peruibe ,5-hydroxy-8-[2-hydroxy-5-(5-hydroxy-7-methoxy-4-oxo-4H-chromen-2-yl)phenyl]-7-methoxy-2-(4-methoxyphenyl)-4H-chromen-4-one,"1S/C33H24O10/c1-39-18-7-4-16(5-8-18)26-14-24(37)32-25(38)15-28(41-3)30(33(32)43-26)20-10-17(6-9-21(20)34)27-13-23(36)31-22(35)11-19(40-2)12-29(31)42-27/h4-15,34-35,38H,1-3H3
","NXPAGAZHSWSUFJ-UHFFFAOYSA-N
",10.0,3.0,6.508,2.0
http://nubbekg.aksw.org/data/compound/2917,"Amentoflavone 7'',4'''-dimethyl ether",OC1=CC(O)=C(C(C=C(C3=CC(C4=C(OC)C=C(O)C5=C4OC(C6=CC=C(OC)C=C6)=CC5=O)=C(O)C=C3)O2)=O)C2=C1,566.5111,C32H22O10,470.518,566.1213,5.0,159.802,Antioxidant,Ouratea multiflora,SP,Peruibe ,"8-[5-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-2-hydroxyphenyl]-5-hydroxy-7-methoxy-2-(4-methoxyphenyl)-4H-chromen-4-one","1S/C32H22O10/c1-39-18-6-3-15(4-7-18)25-13-23(37)31-24(38)14-27(40-2)29(32(31)42-25)19-9-16(5-8-20(19)34)26-12-22(36)30-21(35)10-17(33)11-28(30)41-26/h3-14,33-35,38H,1-2H3
","SQGLUEWZRKIEGS-UHFFFAOYSA-N
",10.0,4.0,5.972,2.0
http://nubbekg.aksw.org/data/compound/2918,Podocarpusflavone A,OC1=CC(O)=C(C(C=C(C3=CC(C4=C(O)C=C(O)C5=C4OC(C6=CC=C(OC)C=C6)=CC5=O)=C(O)C=C3)O2)=O)C2=C1,552.4845,C31H20O10,452.99,552.10565,4.0,170.796,Antioxidant,Ouratea multiflora,SP,Peruibe ,"8-[5-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-2-hydroxyphenyl]-5,7-dihydroxy-2-(4-methoxyphenyl)-4H-chromen-4-one","1S/C31H20O10/c1-39-17-5-2-14(3-6-17)25-13-24(38)30-22(36)11-21(35)28(31(30)41-25)18-8-15(4-7-19(18)33)26-12-23(37)29-20(34)9-16(32)10-27(29)40-26/h2-13,32-36H,1H3
","RBTRUVNXLDXHBJ-UHFFFAOYSA-N
",10.0,5.0,5.696,2.0
http://nubbekg.aksw.org/data/compound/2919,Amentoflavone,OC1=CC(O)=C(C(C=C(C3=CC(C4=C(O)C=C(O)C5=C4OC(C6=CC=C(O)C=C6)=CC5=O)=C(O)C=C3)O2)=O)C2=C1,538.4579,C30H18O10,435.463,538.09,3.0,181.79,Antioxidant,Ouratea multiflora,SP,Peruibe ,"8-[5-(5,7-dihydroxy-4-oxo-4H-chromen-2-yl)-2-hydroxyphenyl]-5,7-dihydroxy-2-(4-hydroxyphenyl)-4H-chromen-4-one","1S/C30H18O10/c31-15-4-1-13(2-5-15)24-12-23(38)29-21(36)10-20(35)27(30(29)40-24)17-7-14(3-6-18(17)33)25-11-22(37)28-19(34)8-16(32)9-26(28)39-25/h1-12,31-36H
","YUSWMAULDXZHPY-UHFFFAOYSA-N
",10.0,6.0,5.16,3.0
http://nubbekg.aksw.org/data/compound/2930,(+)-3-O-feruloylcassine,OC2=CC=C(C=C2OC)/C=C/C(O[C@H]1[C@H](N[C@H](CC1)CCCCCCCCCCC(C)=O)C)=O,473.6447,C28H43NO5,478.763,473.31412,16.0,84.865,Anti-inflamatory | Antioxidant,Senna spectabilis,SP,Araraquara ,"(2R,3R,6S)-2-methyl-6-(11-oxododecyl)piperidin-3-yl (2E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoate","1S/C28H43NO5/c1-21(30)12-10-8-6-4-5-7-9-11-13-24-16-18-26(22(2)29-24)34-28(32)19-15-23-14-17-25(31)27(20-23)33-3/h14-15,17,19-20,22,24,26,29,31H,4-13,16,18H2,1-3H3/b19-15+/t22-,24+,26-/m1/s1
","STSLNURRVKPSHZ-VQQILSIJSA-N
",6.0,2.0,6.485,1.0
http://nubbekg.aksw.org/data/compound/2960,(-)-Epigallocatechin,O[C@@H]2CC1=C(O)C=C(O)C=C1O[C@@H]2[C@]3=CC(O)=C(O)C(O)=C3,306.2675,C15H14O7,252.159,306.07394,1.0,130.602,Antioxidant,Maytenus aquifolium,SP,Ribeirao Preto ,"(2R,3R)-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol","1S/C15H14O7/c16-7-3-9(17)8-5-12(20)15(22-13(8)4-7)6-1-10(18)14(21)11(19)2-6/h1-4,12,15-21H,5H2/t12-,15-/m1/s1
","XMOCLSLCDHWDHP-IUODEOHRSA-N
",7.0,6.0,1.077,1.0
http://nubbekg.aksw.org/data/compound/2961,(-)-Epigallocatechin-3-O-gallate,OC1=CC(O)=C(C[C@@H](OC(C4=CC(O)=C(O)C(O)=C4)=O)[C@@H]([C@]3=CC(O)=C(O)C(O)=C3)O2)C2=C1,458.3717,C22H18O11,367.571,458.0849,4.0,197.363,Antioxidant,Chrysophyllum marginatum,SP,Ibate ,"(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3-yl 3,4,5-trihydroxybenzoate","1S/C22H18O11/c23-10-5-12(24)11-7-18(33-22(31)9-3-15(27)20(30)16(28)4-9)21(32-17(11)6-10)8-1-13(25)19(29)14(26)2-8/h1-6,18,21,23-30H,7H2/t18-,21-/m1/s1
","WMBWREPUVVBILR-WIYYLYMNSA-N
",11.0,8.0,2.245,2.0
http://nubbekg.aksw.org/data/compound/2974,Salacin,O=C2C(O)=C(C)C1=CC=C([C@](CC[C@]5(C)[C@]([H])4C[C@]([H])(C)[C@H](O)[C@H]5O)(C)[C@@]4(C)CC3)[C@]3(C)C1=C2,438.5989,C28H38O4,427.83,438.277,0.0,77.755,Antioxidant,Salacia campestris,SP,Sao Carlos ,"(6bS,8aR,9S,10S,11S,12aS,12bS,14aR)-3,9,10-trihydroxy-4,6b,8a,11,12b,14a-hexamethyl-2,6b,7,8,8a,9,10,11,12,12a,12b,13,14,14a-tetradecahydropicen-2-one","1S/C28H38O4/c1-15-13-21-26(4,24(32)22(15)30)10-12-27(5)20-8-7-17-16(2)23(31)19(29)14-18(17)25(20,3)9-11-28(21,27)6/h7-8,14-15,21-22,24,30-32H,9-13H2,1-6H3/t15-,21+,22-,24+,25-,26+,27+,28-/m0/s1
","QFOURIXAMIJRTI-KAGCPUOFSA-N
",4.0,3.0,4.113,0.0
http://nubbekg.aksw.org/data/compound/2975,"Maytenin, Tingenone",O=C2C(O)=C(C)C1=CC=C([C@](CC[C@](C5)(C)[C@]([H])4C[C@](C)([H])C5=O)(C)[C@@]4(C)CC3)[C@]3(C)C1=C2,420.5836,C28H36O3,413.925,420.26645,0.0,54.37,Antioxidant,Cheiloclinium cognatum | Maytenus aquifolium | Maytenus ilicifolia | Peritassa campestris | Salacia campestris,GO | SP,Goiania  | Ribeirao Preto  | Sao Carlos ,"(6bS,8aS,11R,12aR,12bS,14aR)-3-hydroxy-4,6b,8a,11,12b,14a-hexamethyl-2,6b,7,8,8a,9,10,11,12,12a,12b,13,14,14a-tetradecahydropicene-2,10-dione","1S/C28H36O3/c1-16-13-23-25(3,15-21(16)30)9-11-27(5)22-8-7-18-17(2)24(31)20(29)14-19(18)26(22,4)10-12-28(23,27)6/h7-8,14,16,23,31H,9-13,15H2,1-6H3/t16-,23-,25+,26+,27-,28+/m1/s1
","WSTYNZDAOAEEKG-GWJSGULQSA-N
",3.0,1.0,4.843,0.0
http://nubbekg.aksw.org/data/compound/2976,20α-Hydroxymaytenin; 20-hydroxy-20-epi-tingenone,O=C2C(O)=C(C)C1=CC=C([C@](CC[C@](C5)(C)[C@]([H])4C[C@](C)(O)C5=O)(C)[C@@]4(C)CC3)[C@]3(C)C1=C2,436.583,C28H36O4,421.618,436.26135,0.0,74.598,Antioxidant,Cheiloclinium cognatum | Maytenus ilicifolia | Peritassa campestris | Salacia campestris,GO | SP,Goiania  | Ribeirao Preto  | Sao Carlos ,"(6bS,8aS,11S,12aR,12bS,14aR)-3,11-dihydroxy-4,6b,8a,11,12b,14a-hexamethyl-2,6b,7,8,8a,9,10,11,12,12a,12b,13,14,14a-tetradecahydropicene-2,10-dione","1S/C28H36O4/c1-16-17-7-8-20-25(3,18(17)13-19(29)23(16)31)10-12-27(5)21-14-28(6,32)22(30)15-24(21,2)9-11-26(20,27)4/h7-8,13,21,31-32H,9-12,14-15H2,1-6H3/t21-,24+,25+,26-,27+,28+/m1/s1
","LLINHWDEBZOLGN-UNQYGWCUSA-N
",4.0,2.0,3.898,0.0
