community_id,n_brnpdb,total_vertices,hiv_active,hiv_inactive,f_i,f_total,threshold,cutoff,community_class,brnpdb_prediction
7372,1,15,0,14,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
6356,1,15,0,14,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
4454,1,29,0,28,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
12690,1,7,0,6,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
12938,1,20,0,19,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
12862,1,20,0,19,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
20197,1,6,0,5,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
21491,1,7,0,6,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
21499,1,11,0,10,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
24447,1,25,0,24,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
18958,1,20,0,19,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
26373,1,19,0,18,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
18500,1,16,0,15,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
28297,1,15,0,14,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
28309,1,12,0,11,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
18142,1,13,0,12,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
18073,1,19,0,18,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
17680,1,15,0,14,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
32685,1,27,0,26,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
13658,1,24,0,23,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
13403,1,8,0,7,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
33891,1,12,0,11,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
34636,1,14,0,13,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
26612,1,9,0,8,0.0,0.03508643956524911,2.0,0.07017287913049822,inactive,HIV_INACTIVE
